"path","category","review_scope","disposition","notable_result"
".dockerignore","Packaging","Minimal service-image build context","REVIEWED; RELEASE IDENTITY INCLUDED","Runtime state caches credentials databases logs and archives are excluded; RELEASE_MODE and the other Dockerfile inputs are explicitly included."
".env.example","Configuration","Safety defaults secrets pair provider quotas timing and risk fields","REVIEWED","Simulation live-disabled entries-off posture uses placeholders; external providers are disabled by default; authenticated timeout recvWindow and time-sync latency are bounded."
".git-commit","Release provenance","Tracked source-ZIP placeholder overwritten only in CI artifact workspace","REVIEWED","Keeps the exact file ledger stable before and after CI writes GITHUB_SHA; the manifest binds the actual value in each artifact."
".gitattributes","Packaging","Line-ending normalisation protecting authenticated release bytes","REVIEWED","Forces LF in index and working tree on every platform so a clone with core.autocrlf=true cannot alter manifested bytes or produce CRLF shebangs unrunnable on Linux."
".github/CODEOWNERS","GitHub","Active code-owner policy","REVIEWED","Activated from the shipped example with the real repository owner; requires code-owner review for strategy, live-gate, pair-policy, manifest, workflow, privileged environment parser and deployment paths. Branch protection must require Code Owner review."
".github/CODEOWNERS.example","GitHub","Review ownership policy template","REVIEWED; SETUP REQUIRED","Inactive example covers strategy manifest workflow installer root wrapper and Oracle setup; operator must replace the placeholder after creating the repository."
".github/workflows/ci.yml","GitHub","Pinned CI artifact and restricted Oracle simulation flow","REVIEWED; REPOSITORY CREATED; COMMIT-SPECIFIC CI REQUIRED","Four-Python hosted verification and deterministic packaging are active in the private repositories; only manual confirmed main-branch simulation can target the non-Docker oracle-sim runner through the root wrapper, and the runner remains unconfigured."
".gitignore","Packaging","Secret state database evidence and build exclusions","REVIEWED","Local credentials runtime state evidence keys databases and generated artifacts are excluded from normal Git tracking."
"ARCHITECTURE.md","Documentation","Trust boundaries pair signal execution protection promotion","REVIEWED","Documents four-service ownership HMAC signal seam durable intent states and Ed25519 promotion boundary."
"AUDIT_AND_RELEASE_NOTES_2026-07-22.md","Audit","Source verdict and material changes","REVIEWED","Records parent/donor findings Bitcoin-only consolidation and explicit external final-audit dependency."
"BITCOIN_BOT_SERVICES_FUNCTIONS_AND_TELEGRAM_GUIDE.txt","Documentation","Complete service function file and Telegram operator inventory","GENERATED; REVIEWED","Human service guide plus complete non-test Python and Bash callable inventory and every release-file ledger entry; external runtime limits remain explicit."
"BOT_SIMPLE_DESCRIPTION.txt","Documentation","Plain-language behavior and risk caveat","REVIEWED","Accurately limits scope to one BTC Spot pair and denies a profitability guarantee."
"Dockerfile.services","Container","Custom Python service image dependencies source and non-root runtime","REVIEWED; COMMIT-SPECIFIC BUILD REQUIRED","The source and minimal context include every COPY input; actual image build/import evidence remains bound to the exact GitHub artifact run and target architecture."
"FINAL_AUDIT_RESPONSE_2026-07-29.txt","Audit","Independent finding disposition source evidence and external blockers","CREATED; REVIEWED","Records legitimate fixes without claiming Docker Oracle Testnet backtest profitability or live certification."
"LAUNCH_GITHUB_AND_ORACLE.txt","Documentation","Mode-separated GitHub Oracle launch and live-certification blockers","CREATED; REVIEWED","Section 4 explicitly keeps live not-certified until CI Testnet Oracle soak backtest analysis evidence signing and approval gates are complete."
"LICENSE","Legal","Copyright grant, warranty and liability disclaimers, trading-risk notice","REVIEWED","Activated from LICENSE.example with the real legal owner. All rights reserved; no use, copy, modify or distribution right is granted. States that the package is not certified for real-money trading. Baseline wording only; requires professional legal review."
"LICENSE.example","Legal","Proprietary all-rights-reserved template and trading-risk notice","REVIEWED","Template only; carries a <LICENSE_OWNER> placeholder. scripts/activate_codeowners.py --license-owner writes the real LICENSE and rejects placeholder owners."
"Makefile","Developer tooling","Verification audit manifest compose backtest helpers","REVIEWED","Targets delegate to canonical scripts; Docker and Freqtrade targets remain environment-dependent."
"ORACLE_DEPLOYMENT_HARDENING_REPORT_2026-08-13.md","Audit","Oracle A1 infrastructure findings fixes evidence protected hashes and residual risks","CREATED; REVIEW ONLY","Records the local uncommitted TestNet hardening, source-level passes, external Oracle/TestNet/soak blockers and unchanged failed profitability gate without claiming LIVE readiness."
"PACKAGE_NOTES.txt","Packaging","Release identity defaults runtime and market scope","REVIEWED","States mode-separated simulation-default four-service Bitcoin-only package provider boundary and staged pair switching."
"PATCH_NOTES_2026-08-01.txt","Release provenance","Post-release patch record","REVIEWED","Documents the two CI-enablement fixes applied on 1 August 2026; confirms the protected strategy hash and the failed profitability gate are unchanged."
