"issue_id","area","severity","classification","affected_paths","observation","resolution_or_control","verification","status","remaining_risk"
"BTC-AUD-001","Donor provenance","HIGH","Confirmed donor defect","bitcoin_bot.zip evidence; services/execution_sidecar/client_ids.py","The donor's claimed 20-test result reproduced as 19 passes and one fixed-clock client-ID collision on Windows.","The donor module was not copied wholesale; client IDs use collision-resistant entropy and durable operation identity.","Concurrent fixed-clock regression in tests/test_execution_safety.py passed in the final core gate.","FIXED; FINAL CORE GATE PASSED","Exchange uniqueness and idempotency still depend on preserving durable state and client-ID lookup."
"BTC-AUD-002","Bitcoin-only scope","HIGH","Intentional removal","freqtrade/user_data/strategies/IctSmcStrategy.py; deploy/verify_release.sh","The parent entry method contained a Sharia eligibility tail that conflicts with the explicit Bitcoin-bot mandate.","Remove only the Sharia operational tail; enforce the exact owner-selected BTC-base pair at pair state and signal emission instead.","Canonical entry source/token hashes and formula regression; forbidden-path release guard.","INTENTIONALLY REMOVED","No Sharia or religious determination is made."
"BTC-AUD-003","Bitcoin-only scope","HIGH","Intentional removal","services; shared; services/telegram_broker/bot.py","Top-50 and altcoin universe discovery are outside the one-Bitcoin-pair mandate.","No universe/scanner service or data tree ships; Telegram contains no discovery/scan action; verifier rejects forbidden paths.","Negative menu test plus deploy/verify_release.sh forbidden-component checks.","INTENTIONALLY REMOVED","Adding another base asset requires a new architecture and audit."
"BTC-AUD-004","Order ownership","CRITICAL","Capital-safety boundary","docker-compose.yml; IctSmcStrategy.py; services/execution_sidecar","Two runtime order owners could duplicate or race orders.","Freqtrade runtime entry is denied; only execution-sidecar receives Binance credentials and owns authenticated Spot requests.","Compose/strategy static regression and exact four-service identity tests passed in the final core gate.","FIXED; FINAL CORE GATE PASSED","Operator must not enable an independent Freqtrade live-trading stack."
"BTC-AUD-005","Execution environment","HIGH","Confirmed integration risk","services/common/binance_public.py; services/execution_sidecar/bitcoin_adapter.py; docker-compose.yml","Production exchangeInfo must not validate a Testnet money-moving request.","Execution filter preflight defaults to Spot Testnet metadata in testnet mode and production metadata in live mode; override is explicit.","Mode-specific filter-base regression.","FIXED IN SOURCE; EXTERNAL PROOF BLOCKED","Binance capabilities can change and require live metadata verification."
"BTC-AUD-006","Unknown POST outcome","CRITICAL","Capital-safety defect class","services/execution_sidecar/spot_gateway.py; services/execution_sidecar/bitcoin_adapter.py; services/execution_sidecar/state_store.py","Timeouts malformed responses request exceptions and unknown failures cannot prove that an order was rejected.","Default to AMBIGUOUS; persist intent before POST; resolve by client ID/GET; never blindly repost. Only explicit deterministic Binance rejects are definite.","Ambiguous and definite-rejection regressions.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","A prolonged exchange/network outage can leave exposure uncertain and entries paused."
"BTC-AUD-007","WebSocket/REST race","CRITICAL","Crash/race safety","services/execution_sidecar/state_store.py; services/execution_sidecar/bitcoin_adapter.py","A user-stream fill can arrive before REST identifiers are bound and could be lost.","Persist raw authenticated events and replay matching events after durable exchange identifiers bind.","Early-stream-fill replay regression.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Future Binance schema changes or missing identifiers can force reconciliation."
"BTC-AUD-008","Partial entry protection","CRITICAL","Capital-safety defect class","bitcoin_adapter.py; state_store.py","OTOCO pending sells are not active protection while a working buy is only partially filled.","Detect partial fill query/cancel the working list intent-first require terminal cancellation then protect only executed quantity; pause on uncertainty.","Partial-working-buy cancel/terminal/protect regression.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Exchange cancel/fill races can leave temporarily uncertain exposure."
"BTC-AUD-009","Stale GTC entry","HIGH","Capital-safety weakness","state_store.py; bitcoin_adapter.py; .env.example","A forgotten GTC buy could fill after the signal is no longer current.","Persist entry submission time and bound MAX_ENTRY_OPEN_SECONDS to 30..900; restart/tick cancels stale entries and handles partial execution.","Restart stale-entry regression.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Cancellation remains subject to last-moment fills and exchange availability."
"BTC-AUD-010","Cancel-and-replace crash gap","CRITICAL","Capital-safety defect class","services/execution_sidecar/state_store.py; services/execution_sidecar/bitcoin_adapter.py","A crash after cancel but before replacement could strand protection or cause duplicate replacement on retry.","Persist repair plan and cancel intent; atomically prepare the replacement child while terminalizing its parent; resume PREPARED child once and resolve AMBIGUOUS child by GET without repost.","Prepared replacement and ambiguous-child restart regressions.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Exchange cancellation/replacement is inherently non-atomic."
"BTC-AUD-011","Emergency exit quantity","CRITICAL","Capital-preservation boundary","services/execution_sidecar/bitcoin_adapter.py","Selling free account BTC could liquidate unrelated holdings while selling only nominal fill could leave fee residual exposure.","Cap IOC sell to durable bot-owned exposure and verified held BTC; include owned fee residual; verify terminal result and balance delta.","Unrelated-BTC and fee-residual regressions.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Use a dedicated otherwise-flat account/subaccount; outages can prevent exit."
"BTC-AUD-012","Break-even accounting","HIGH","Risk-accounting defect","risk_checks.py; protection_modes.py","A stop above nominal entry but below round-trip fee/slippage break-even could be mislabeled profitable.","Use fee-adjusted break-even including both sides and configured slippage.","Protective-exit and fee-adjusted-break-even regressions passed in the final core gate.","FIXED; FINAL CORE GATE PASSED","Actual fees and slippage can exceed configured assumptions."
"BTC-AUD-013","Order-list event phase","HIGH","State-machine defect","services/execution_sidecar/state_store.py; services/execution_sidecar/bitcoin_adapter.py","ListStatus EXECUTING for initial OTO/OTOCO could be mistaken for active sell protection.","Make event application phase-aware; initial pending legs do not promote protection; authenticated REST state participates in reconstruction.","List EXECUTING and missed-stop reconstruction regressions.","FIXED IN SOURCE; TESTNET DRILL BLOCKED","Unknown future event variants fail toward reconciliation."
"BTC-AUD-014","Secret disclosure","CRITICAL","Security defect class","services/common/redaction.py; execution_sidecar/main.py; telegram_broker/bot.py; monitoring/api/log_redaction.py","Signed query URLs quoted JSON fields persisted command results intent errors logs or Telegram text could disclose credentials/signatures/listen keys.","Redact before SQLite/result/audit persistence and at Telegram output; redact quoted JSON/query forms; monitoring preserves only explicitly named public release hashes.","Core redaction persistence/sink tests and monitoring redaction/hash tests all passed.","FIXED; CORE 220 PASSED/2 SKIPPED AND MONITORING 51/51 PASSED","Redaction is defense in depth; credentials must never enter source or chat."
"BTC-AUD-015","Telegram confirmation","HIGH","Control-plane safety","services/telegram_broker/callbacks.py; bot.py","A generic cancel or reused confirm could affect the wrong money-moving action.","Use owner/private-chat authorization and token-specific one-use confirm/cancel with expiry.","Exact-token cancellation and duplicate-confirm regressions.","FIXED IN SOURCE; REAL DELIVERY BLOCKED","A compromised owner Telegram account remains an external risk."
"BTC-AUD-016","Live policy mutation","CRITICAL","Promotion-integrity defect class","services/execution_sidecar/live_evidence.py; services/execution_sidecar/main.py; services/telegram_broker/bot.py","Changing protection mode size or auto-protection after evidence signing would invalidate reviewed live risk policy.","Bind risk policy into signed evidence; source live policy from environment before evidence verification; reject Telegram mutation in live mode and require fresh evidence/redeploy.","Live evidence policy-change and command regressions.","FIXED IN SOURCE; SIGNED PROMOTION BLOCKED","Operational environment and public key custody must remain controlled."
"BTC-AUD-017","User-stream supervision","HIGH","Reliability defect class","services/execution_sidecar/user_data_stream.py; services/execution_sidecar/bitcoin_adapter.py","Rejected subscription or server shutdown could leave a connected but unsubscribed socket; account-balance events require authoritative parity refresh.","Close on rejected subscription eventStreamTerminated or serverShutdown; outboundAccountPosition balanceUpdate and externalLockUpdate trigger disarm/reconciliation.","Subscription shutdown and all account-event reconciliation regressions.","FIXED IN SOURCE; TESTNET RECONNECT DRILL BLOCKED","WebSocket API behavior and network faults require live observation."
"BTC-AUD-018","Monitoring API consolidation","HIGH","Packaging/security defect class","monitoring/api/app.py; monitoring/api/authentication.py","Prior evidence contained competing monitor APIs and inconsistent authentication.","Ship one versioned canonical read-only FastAPI implementation with Bearer authentication constant-time comparison rate limiting audit request IDs and redaction.","monitoring/tests/test_monitoring.py passed 51/51.","FIXED; MONITORING SUITE PASSED 51/51","Actual reverse-proxy TLS/firewall and process isolation are deployment responsibilities."
"BTC-AUD-019","Monitoring timers","MEDIUM","Deployment defect class","monitoring/systemd","A report timer without its matching service cannot run.","Complete simulation/testnet/live report service/timer pairs plus snapshot service/timer.","Static pairing in deploy/verify_release.sh and monitoring tests.","FIXED IN SOURCE; SYSTEMD RUNTIME BLOCKED","Timer execution and permissions still need Oracle proof."
"BTC-AUD-020","Pair projection integrity","CRITICAL","Cross-service identity","services/execution_sidecar/pair_control.py; shared/pair/*","A partial or mismatched pairlist/overlay can cause cross-pair signals or execution.","Bootstrap accepts only exact generation/hash/refresh projections; staged pair switch republishes only after two verified-flat checks and owner swap acknowledgement, then requires exact Freqtrade heartbeat proof.","Corrupt/partial projection staged-switch and heartbeat regressions.","FIXED IN SOURCE; TESTNET PAIR-SWITCH DRILL BLOCKED","Filesystem or host loss can still require external recovery."
"BTC-AUD-021","Envelope numeric/freshness validation","HIGH","Security/replay defect class","services/common/envelope.py","NaN Infinity reversed validity windows and excessive TTL can bypass ordinary comparisons.","Require finite times strict TTL 1..3600 expiry after creation known purpose signature release and skew/freshness validation.","Nonfinite TTL and reversed-window regressions passed in the final core gate.","FIXED; FINAL CORE GATE PASSED","Host clock synchronization remains mandatory."
